INSTNM,CITY,STABBR,ZIP,CONTROL,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,BOOKSUPPLY,NPT4_PUB,NPT4_PRIV,PFTFAC,ADM_RATE,C100_4,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10
Alabama A & M University,Normal,AL,35762,1,23445.0,nan,10024.0,18634.0,nan,1600.0,15529.0,nan,0.996,0.8965,0.1052,28704.0,34422.0,36339.0
University of Alabama at Birmingham,Birmingham,AL,35294-0110,1,25542.0,nan,8568.0,20400.0,nan,1200.0,16530.0,nan,0.7619,0.806,0.3816,39271.0,44053.0,46990.0
Amridge University,Montgomery,AL,36117-3553,2,20100.0,nan,6950.0,6950.0,nan,900.0,nan,17618.0,1.0,nan,0.25,32939.0,36302.0,37895.0
University of Alabama in Huntsville,Huntsville,AL,35899,1,24861.0,nan,11338.0,23734.0,nan,2200.0,17208.0,nan,0.6702,0.7711,0.3109,47533.0,48947.0,54361.0
Alabama State University,Montgomery,AL,36104-0271,1,21892.0,nan,11068.0,19396.0,nan,1600.0,19534.0,nan,0.6797,0.9888,0.1462,25949.0,30193.0,32084.0
The University of Alabama,Tuscaloosa,AL,35487-0100,1,30016.0,nan,11620.0,31090.0,nan,1000.0,20917.0,nan,0.7707,0.8039,0.523,44485.0,47786.0,52751.0
Central Alabama Community College,Alexander City,AL,35010,1,9437.0,nan,4930.0,8860.0,nan,1000.0,3269.0,nan,0.4057,nan,nan,25657.0,29728.0,32503.0
Athens State University,Athens,AL,35611,1,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,38536.0,41117.0,42233.0
Auburn University at Montgomery,Montgomery,AL,36117-3596,1,20225.0,nan,8860.0,18820.0,nan,1200.0,13678.0,nan,0.7087,0.9555,0.0953,33326.0,37310.0,41679.0
Auburn University,Auburn,AL,36849,1,32196.0,nan,11796.0,31956.0,nan,1200.0,24018.0,nan,0.8654,0.8507,0.5111,49695.0,53699.0,56933.0
Birmingham-Southern College,Birmingham,AL,35254,2,32514.0,nan,18900.0,18900.0,nan,1260.0,nan,19808.0,0.777,0.6045,0.6496,42523.0,48459.0,50775.0
Chattahoochee Valley Community College,Phenix City,AL,36869,1,10275.0,nan,4920.0,8910.0,nan,800.0,2652.0,nan,0.43,nan,nan,26888.0,29191.0,31254.0
South University-Montgomery,Montgomery,AL,36116,3,28761.0,nan,17014.0,17014.0,nan,1500.0,nan,20518.0,0.1408,nan,0.1176,26001.0,29995.0,36710.0
Enterprise State Community College,Enterprise,AL,36330-1300,1,9561.0,nan,4960.0,8950.0,nan,950.0,4142.0,nan,0.4779,nan,nan,32481.0,34679.0,37260.0
Coastal Alabama Community College,Bay Minette,AL,36507-2698,1,14915.0,nan,4860.0,8850.0,nan,1500.0,8924.0,nan,0.3704,nan,nan,26501.0,29783.0,32139.0
Faulkner University,Montgomery,AL,36109-3390,2,34835.0,nan,22990.0,22990.0,nan,1800.0,nan,20500.0,0.539,0.7576,0.1595,32902.0,35681.0,39437.0
Gadsden State Community College,Gadsden,AL,35903,1,10527.0,nan,3936.0,7128.0,nan,1600.0,4538.0,nan,0.5513,nan,nan,24906.0,28189.0,28950.0
New Beginning College of Cosmetology,Albertville,AL,35951,3,nan,16173.0,nan,nan,11040.0,nan,nan,12560.0,nan,nan,nan,16224.0,nan,nan
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,1,9990.0,nan,4800.0,8790.0,nan,1200.0,1384.0,nan,0.5882,nan,nan,24807.0,26752.0,29417.0
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,1,12537.0,nan,4860.0,8850.0,nan,1600.0,6685.0,nan,0.3968,nan,nan,30399.0,32558.0,35632.0
George C Wallace State Community College-Selma,Selma,AL,36702-2808,1,11154.0,nan,4560.0,8550.0,nan,2500.0,3928.0,nan,0.5596,nan,nan,23715.0,26884.0,27770.0
Herzing University-Birmingham,Birmingham,AL,35209,2,30319.0,nan,14200.0,14200.0,nan,0.0,nan,25741.0,0.5556,0.9153,0.0,30259.0,30592.0,33093.0
Huntingdon College,Montgomery,AL,36106-2148,2,37483.0,nan,27900.0,27900.0,nan,300.0,nan,21632.0,0.7595,0.5439,0.326,37025.0,43245.0,45389.0
Heritage Christian University,Florence,AL,35630-9977,2,nan,nan,11532.0,11532.0,nan,1000.0,nan,nan,1.0,0.6667,0.0,32742.0,nan,34561.0
J. F. Drake State Community and Technical College,Huntsville,AL,35811,1,12015.0,nan,4830.0,8820.0,nan,2000.0,5740.0,nan,0.5918,nan,nan,21986.0,24412.0,26169.0
J F Ingram State Technical College,Deatsville,AL,36022,1,6012.0,nan,5472.0,5472.0,nan,612.0,2902.0,nan,1.0,nan,nan,nan,nan,nan
Jacksonville State University,Jacksonville,AL,36265,1,21560.0,nan,11120.0,20840.0,nan,1196.0,17523.0,nan,0.7803,0.6369,0.2156,34081.0,36623.0,39354.0
Jefferson State Community College,Birmingham,AL,35215-3098,1,14127.0,nan,5850.0,9840.0,nan,1614.0,9564.0,nan,0.3919,nan,nan,30686.0,33338.0,36111.0
John C Calhoun State Community College,Tanner,AL,35671,1,11128.0,nan,4940.0,8930.0,nan,2650.0,6267.0,nan,0.4203,nan,nan,28285.0,31033.0,33834.0
Judson College,Marion,AL,36756,2,32380.0,nan,18640.0,18640.0,nan,1340.0,nan,16976.0,0.4,0.5648,0.4051,29785.0,30260.0,29569.0
Lawson State Community College,Birmingham,AL,35221-1717,1,14811.0,nan,4860.0,8850.0,nan,2300.0,7855.0,nan,0.4655,nan,nan,23621.0,26785.0,28016.0
University of West Alabama,Livingston,AL,35470,1,22645.0,nan,10990.0,20090.0,nan,1216.0,16747.0,nan,0.4672,0.9313,0.3226,34478.0,34848.0,35767.0
Lurleen B Wallace Community College,Andalusia,AL,36420-1224,1,13532.0,nan,4860.0,8850.0,nan,1192.0,6997.0,nan,0.6742,nan,nan,23629.0,26210.0,29717.0
Marion Military Institute,Marion,AL,36756-3207,1,18568.0,nan,9418.0,15418.0,nan,1800.0,11190.0,nan,0.8462,0.575,nan,44567.0,42875.0,48920.0
Miles College,Fairfield,AL,35064-2621,2,22684.0,nan,12714.0,12714.0,nan,250.0,nan,14912.0,0.7545,nan,0.1423,25928.0,27631.0,30470.0
University of Mobile,Mobile,AL,36613-2842,2,36890.0,nan,24310.0,24310.0,nan,1800.0,nan,23416.0,1.0,0.6657,0.3247,33075.0,37521.0,40280.0
University of Montevallo,Montevallo,AL,35115-6000,1,26018.0,nan,13710.0,26730.0,nan,1020.0,18584.0,nan,0.6471,0.6052,0.3491,32169.0,34020.0,38378.0
Northwest-Shoals Community College,Muscle Shoals,AL,35661,1,13107.0,nan,4831.0,8821.0,nan,1600.0,6166.0,nan,0.4615,nan,nan,25830.0,27817.0,31190.0
University of North Alabama,Florence,AL,35632-0001,1,21502.0,nan,10620.0,20220.0,nan,1500.0,13699.0,nan,0.6631,0.8266,0.2653,35791.0,35625.0,39316.0
Northeast Alabama Community College,Rainsville,AL,35986,1,9200.0,nan,4860.0,8850.0,nan,2400.0,3759.0,nan,0.3614,nan,nan,27408.0,30103.0,31801.0
Oakwood University,Huntsville,AL,35896,2,37764.0,nan,19990.0,19990.0,nan,1200.0,nan,26953.0,0.8007,0.8881,0.2725,28749.0,33465.0,37922.0
Reid State Technical College,Evergreen,AL,36401,1,9152.0,nan,4920.0,8910.0,nan,1125.0,1515.0,nan,0.5313,nan,nan,23349.0,26868.0,24403.0
Bishop State Community College,Mobile,AL,36603-5898,1,10492.0,nan,4860.0,8850.0,nan,2000.0,4352.0,nan,0.4552,nan,nan,22171.0,24665.0,26480.0
Samford University,Birmingham,AL,35229-2240,2,49634.0,nan,34198.0,34198.0,nan,1000.0,nan,30072.0,0.9873,0.8399,0.6607,45778.0,46732.0,53223.0
Shelton State Community College,Tuscaloosa,AL,35405-8522,1,14232.0,nan,4560.0,8550.0,nan,2000.0,8010.0,nan,0.5562,nan,nan,27172.0,30202.0,30880.0
Snead State Community College,Boaz,AL,35957-0734,1,11531.0,nan,5344.0,9600.0,nan,2735.0,5746.0,nan,0.2714,nan,nan,28272.0,29578.0,30808.0
University of South Alabama,Mobile,AL,36688-0002,1,21694.0,nan,8396.0,16292.0,nan,1200.0,16826.0,nan,0.628,0.7303,0.2645,36829.0,40229.0,43123.0
Spring Hill College,Mobile,AL,36608-1791,2,55844.0,nan,41868.0,41868.0,nan,1750.0,nan,22560.0,0.6864,0.5416,0.4558,37808.0,43725.0,47960.0
Stillman College,Tuscaloosa,AL,35401,2,27665.0,nan,11322.0,11322.0,nan,2034.0,nan,19846.0,0.7288,0.5553,0.0981,27831.0,30940.0,32146.0
Talladega College,Talladega,AL,35160,2,24220.0,nan,13866.0,13866.0,nan,1200.0,nan,19863.0,0.5694,nan,0.0816,23545.0,26509.0,28412.0
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,1,12505.0,nan,4770.0,8760.0,nan,2000.0,4911.0,nan,0.5045,nan,nan,24217.0,26348.0,26057.0
Troy University,Troy,AL,36082-0001,1,21251.0,nan,8908.0,16708.0,nan,1300.0,14992.0,nan,0.5375,0.9243,0.2655,32760.0,35997.0,39339.0
Tuskegee University,Tuskegee,AL,36088-1920,2,40750.0,nan,22614.0,22614.0,nan,1812.0,nan,36528.0,0.8718,0.6113,0.2792,35093.0,39220.0,44419.0
United States Sports Academy,Daphne,AL,36526-7055,2,nan,nan,nan,nan,nan,nan,nan,nan,0.4545,nan,nan,40709.0,44289.0,48817.0
Bevill State Community College,Jasper,AL,35501,1,14567.0,nan,5214.0,9470.0,nan,1400.0,8600.0,nan,0.2997,nan,nan,26570.0,29653.0,30413.0
University of Alaska Anchorage,Anchorage,AK,99508,1,18946.0,nan,8622.0,25228.0,nan,1320.0,11782.0,nan,0.5181,0.7683,0.1273,37355.0,43160.0,47891.0
Alaska Bible College,Palmer,AK,99645,2,25250.0,nan,9700.0,9700.0,nan,400.0,nan,15630.0,nan,nan,nan,nan,nan,nan
University of Alaska Fairbanks,Fairbanks,AK,99775,1,19135.0,nan,7176.0,21312.0,nan,2000.0,10510.0,nan,0.6131,0.6701,0.2169,35456.0,39000.0,43728.0
University of Alaska Southeast,Juneau,AK,99801-8697,1,16310.0,nan,6960.0,21096.0,nan,1400.0,10292.0,nan,0.5583,0.6352,0.0714,35319.0,39000.0,40727.0
Alaska Pacific University,Anchorage,AK,99508,2,34350.0,nan,20760.0,20760.0,nan,1200.0,nan,20651.0,0.4851,0.9065,0.5,33401.0,41399.0,47267.0
Alaska Vocational Technical Center,Seward,AK,99664-0889,1,nan,15827.0,nan,nan,4413.0,nan,7578.0,nan,nan,nan,nan,42891.0,42323.0,36167.0
Charter College,Vancouver,WA,98683-7575,3,31263.0,nan,18711.0,18711.0,nan,0.0,nan,24629.0,0.3361,nan,nan,29515.0,30556.0,36609.0
Alaska Career College,Anchorage,AK,99507-1033,3,nan,19344.0,nan,nan,15895.0,nan,nan,15191.0,0.1923,nan,nan,29941.0,27634.0,31891.0
Empire Beauty School-Tucson,Tucson,AZ,85716,3,nan,20207.0,nan,nan,19200.0,nan,nan,15667.0,nan,nan,nan,22746.0,21463.0,23974.0
Carrington College-Phoenix North,Phoenix,AZ,85051-4063,3,nan,26708.0,nan,nan,14763.0,nan,nan,22500.0,0.5366,nan,nan,30410.0,30763.0,32585.0
Carrington College-Mesa,Mesa,AZ,85210-5005,3,nan,40676.0,nan,nan,49253.0,nan,nan,37809.0,0.3,nan,nan,30410.0,30763.0,32585.0
Carrington College-Tucson,Tucson,AZ,85745-2974,3,nan,31337.0,nan,nan,14763.0,nan,nan,26891.0,0.3077,nan,nan,30410.0,30763.0,32585.0
Arizona Academy of Beauty,Tucson,AZ,85712,3,nan,16743.0,nan,nan,17700.0,nan,nan,6637.0,nan,nan,nan,16808.0,18284.0,25265.0
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,85301-3579,3,nan,36106.0,nan,nan,20663.0,nan,nan,32829.0,nan,nan,nan,24668.0,26537.0,28204.0
Brookline College-Phoenix,Phoenix,AZ,85021,3,nan,35678.0,nan,nan,85000.0,nan,nan,30747.0,1.0,nan,0.561,23796.0,23926.0,24653.0
Arizona State University Campus Immersion,Tempe,AZ,85287,1,27056.0,nan,11338.0,29428.0,nan,1300.0,13107.0,nan,0.7426,0.8837,0.5096,46621.0,50849.0,55749.0
Arizona Western College,Yuma,AZ,85365-8834,1,15171.0,nan,2840.0,9830.0,nan,2000.0,10023.0,nan,0.4354,nan,nan,27382.0,30492.0,32346.0
University of Arizona,Tucson,AZ,85721-0066,1,27461.0,nan,12716.0,36743.0,nan,800.0,13358.0,nan,0.7784,0.8513,0.4904,43784.0,50165.0,55205.0
Central Arizona College,Coolidge,AZ,85128-9030,1,10699.0,nan,2580.0,5160.0,nan,1600.0,5804.0,nan,1.0,nan,nan,30853.0,33699.0,34165.0
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,3,nan,13727.0,nan,nan,12500.0,nan,nan,9851.0,nan,nan,nan,18456.0,20589.0,22726.0
Cochise County Community College District,Sierra Vista,AZ,85635-2317,1,11353.0,nan,2184.0,6240.0,nan,1800.0,6260.0,nan,0.4042,nan,nan,29025.0,31038.0,32656.0
Empire Beauty School-Chandler,Chandler,AZ,85224,3,nan,20076.0,nan,nan,19200.0,nan,nan,16032.0,nan,nan,nan,20872.0,21825.0,24220.0
Avalon Institute-Mesa,Mesa,AZ,85210,3,nan,20567.0,nan,nan,17200.0,nan,nan,16397.0,nan,nan,nan,23844.0,24829.0,23050.0
Eastern Arizona College,Thatcher,AZ,85552-0769,1,14462.0,nan,2700.0,9120.0,nan,992.0,8328.0,nan,0.3401,nan,nan,26852.0,31882.0,34529.0
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,2,54536.0,nan,37864.0,37864.0,nan,1400.0,nan,35432.0,0.722,0.6685,0.3785,62242.0,71289.0,77768.0
The School of Architecture,Paradise Valley,AZ,85253,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Glendale Community College,Glendale,AZ,85302,1,14471.0,nan,2070.0,7854.0,nan,1472.0,9605.0,nan,1.0,nan,nan,32833.0,35613.0,40144.0
Grand Canyon University,Phoenix,AZ,85017,3,31376.0,nan,17800.0,17800.0,nan,800.0,nan,20585.0,0.0822,0.8069,0.3906,34441.0,33546.0,39783.0
GateWay Community College,Phoenix,AZ,85034,1,15328.0,nan,2070.0,7854.0,nan,1472.0,10106.0,nan,1.0,nan,nan,35466.0,38273.0,42020.0
Mesa Community College,Mesa,AZ,85202,1,15405.0,nan,2070.0,7854.0,nan,1472.0,10504.0,nan,1.0,nan,nan,32992.0,37297.0,40763.0
Mohave Community College,Kingman,AZ,86409-1238,1,12325.0,nan,2112.0,6972.0,nan,720.0,7267.0,nan,0.332,nan,nan,27973.0,29893.0,31007.0
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,85027,3,nan,23064.0,nan,nan,22950.0,nan,nan,19127.0,nan,nan,nan,38658.0,41767.0,45646.0
Dine College,Tsaile,AZ,86556,1,13921.0,nan,1410.0,1410.0,nan,1400.0,10604.0,nan,0.7079,nan,nan,22467.0,24500.0,25086.0
Northern Arizona University,Flagstaff,AZ,86011-4092,1,27969.0,nan,11896.0,26642.0,nan,1000.0,14308.0,nan,0.6783,0.8164,0.4235,41369.0,44005.0,46950.0
Northland Pioneer College,Holbrook,AZ,86025-0610,1,15589.0,nan,2428.0,9851.0,nan,1400.0,10471.0,nan,0.5785,nan,nan,23813.0,27876.0,29093.0
Ottawa University-Phoenix,Phoenix,AZ,85021,2,nan,nan,nan,nan,nan,nan,nan,nan,0.75,nan,nan,42665.0,44840.0,47355.0
Phoenix College,Phoenix,AZ,85013,1,14974.0,nan,2070.0,7854.0,nan,1472.0,9671.0,nan,1.0,nan,nan,31223.0,34006.0,36477.0
Pima Community College,Tucson,AZ,85709-1275,1,8856.0,nan,2250.0,7566.0,nan,1920.0,3846.0,nan,0.2685,nan,nan,30066.0,33023.0,35828.0
Pima Medical Institute-Tucson,Tucson,AZ,85712,3,nan,nan,nan,nan,21206.0,nan,nan,nan,0.3128,nan,nan,31568.0,32624.0,33043.0
Pima Medical Institute-Albuquerque,Albuquerque,NM,87110,3,nan,25743.0,nan,nan,14770.0,nan,nan,20850.0,0.4778,nan,nan,31568.0,32624.0,33043.0
Prescott College,Prescott,AZ,86301,2,43649.0,nan,33669.0,33669.0,nan,1018.0,nan,22082.0,0.2579,0.9842,0.3171,28834.0,33349.0,35112.0
Refrigeration School Inc,Phoenix,AZ,85034-1816,3,nan,27225.0,nan,nan,19924.0,nan,nan,20872.0,0.8889,nan,nan,41041.0,44920.0,46090.0
Rio Salado College,Tempe,AZ,85281,1,13516.0,nan,2070.0,7854.0,nan,1472.0,9156.0,nan,1.0,nan,nan,28056.0,36143.0,40941.0
Roberto-Venn School of Luthiery,Phoenix,AZ,85007,3,nan,24900.0,nan,nan,10950.0,nan,nan,21557.0,nan,nan,nan,30759.0,27061.0,31672.0
Scottsdale Community College,Scottsdale,AZ,85256,1,15681.0,nan,2070.0,7854.0,nan,1472.0,11088.0,nan,1.0,nan,nan,37440.0,39239.0,43007.0
South Mountain Community College,Phoenix,AZ,85042,1,14737.0,nan,2070.0,7854.0,nan,1472.0,9834.0,nan,1.0,nan,nan,30347.0,32625.0,34641.0
Arizona Christian University,Glendale,AZ,85306-3216,2,44585.0,nan,29250.0,29250.0,nan,1600.0,nan,29065.0,0.2809,0.7147,0.3791,35500.0,40125.0,37531.0
Universal Technical Institute of Arizona Inc,Avondale,AZ,85323,3,nan,28609.0,nan,nan,38100.0,nan,nan,24166.0,nan,nan,nan,43369.0,45545.0,51439.0
Empire Beauty School-NW Phoenix,Phoenix,AZ,85051,3,nan,20015.0,nan,nan,19200.0,nan,nan,14806.0,nan,nan,nan,20807.0,21618.0,24578.0
Yavapai College,Prescott,AZ,86301,1,11934.0,nan,2600.0,9332.0,nan,1160.0,6814.0,nan,0.3677,nan,nan,30810.0,34266.0,34014.0
University of Arkansas at Little Rock,Little Rock,AR,72204,1,20416.0,nan,8366.0,18957.0,nan,1250.0,16065.0,nan,1.0,0.5604,0.2562,35410.0,37541.0,40077.0
University of Arkansas for Medical Sciences,Little Rock,AR,72205-7199,1,nan,nan,nan,nan,nan,nan,nan,nan,0.8824,nan,nan,60527.0,65235.0,68371.0
Arkansas Baptist College,Little Rock,AR,72202-6068,2,22405.0,nan,8760.0,8760.0,nan,1000.0,nan,16961.0,0.5278,nan,0.0,21762.0,25612.0,26710.0
Arkansas Beauty School-Little Rock,Little Rock,AR,72209,3,nan,27191.0,nan,nan,19805.0,nan,nan,23066.0,nan,nan,nan,15236.0,17230.0,17300.0
Arkansas Beauty College,Russellville,AR,72801,3,nan,14167.0,nan,nan,14400.0,nan,nan,10659.0,nan,nan,nan,18622.0,14815.0,17966.0
Lyon College,Batesville,AR,72501,2,41396.0,nan,29415.0,29415.0,nan,1500.0,nan,20706.0,1.0,0.5015,0.3661,30527.0,37833.0,43343.0
Arkansas Technical School,North Little Rock,AR,72114,3,nan,26762.0,nan,nan,19453.0,nan,nan,20567.0,nan,nan,nan,16238.0,18085.0,22139.0
Arthur's Beauty College,Fort Smith,AR,72901-3342,3,nan,13437.0,nan,nan,14250.0,nan,nan,10667.0,nan,nan,nan,16600.0,19852.0,18435.0
University of Arkansas,Fayetteville,AR,72701,1,23997.0,nan,9384.0,25872.0,nan,1100.0,16507.0,nan,0.8825,0.7767,0.5043,43807.0,48063.0,51702.0
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,1,19541.0,nan,8248.0,14908.0,nan,1000.0,11631.0,nan,0.8062,0.5966,0.2381,26331.0,31196.0,31984.0
Arkansas State University-Beebe,Beebe,AR,72012-1000,1,14710.0,nan,2928.0,4656.0,nan,1000.0,9063.0,nan,0.5549,nan,nan,27523.0,29513.0,33070.0
Arkansas State University,Jonesboro,AR,72401,1,23009.0,nan,7315.0,12883.0,nan,1250.0,14189.0,nan,1.0,0.6719,0.3704,32687.0,34646.0,37755.0
Arkansas Tech University,Russellville,AR,72801-2222,1,19361.0,nan,7668.0,13236.0,nan,1240.0,11721.0,nan,0.9946,0.9766,0.2699,32177.0,35180.0,38580.0
University of Arkansas at Monticello,Monticello,AR,71656,1,18822.0,nan,7909.0,13759.0,nan,1200.0,10451.0,nan,1.0,nan,0.1667,26554.0,30490.0,33821.0
Arthur's Beauty College,Jacksonville,AR,72076,3,nan,14803.0,nan,nan,14250.0,nan,nan,10642.0,nan,nan,nan,18529.0,20626.0,19981.0
Baptist Health College Little Rock,Little Rock,AR,72210-2827,2,24470.0,nan,11750.0,11750.0,nan,2525.0,nan,23234.0,0.6329,0.5,nan,47112.0,50842.0,54924.0
Black River Technical College,Pocahontas,AR,72455,1,12970.0,nan,4118.0,6350.0,nan,2568.0,4721.0,nan,0.6277,nan,nan,25951.0,29448.0,30617.0
University of Central Arkansas,Conway,AR,72035-0001,1,23185.0,nan,9338.0,16148.0,nan,1200.0,16554.0,nan,0.7822,0.9378,0.3069,34259.0,38192.0,42472.0
Central Baptist College,Conway,AR,72034,2,26390.0,nan,17100.0,17100.0,nan,1350.0,nan,15482.0,0.2647,0.4981,0.3232,33652.0,37386.0,40099.0
Cossatot Community College of the University of Arkansas,De Queen,AR,71832,1,11154.0,nan,3570.0,4410.0,nan,240.0,5715.0,nan,0.4767,nan,nan,25721.0,26959.0,30580.0
Crowley's Ridge College,Paragould,AR,72450,2,23348.0,nan,15100.0,15100.0,nan,600.0,nan,14395.0,0.4474,nan,0.1628,28886.0,32073.0,27898.0
East Arkansas Community College,Forrest City,AR,72335-2204,1,12762.0,nan,2925.0,3804.0,nan,2200.0,6683.0,nan,0.64,nan,nan,21287.0,22753.0,28549.0
Eastern College of Health Vocations-Little Rock,Little Rock,AR,72205,3,nan,17474.0,nan,nan,12000.0,nan,nan,13041.0,nan,nan,nan,20734.0,22772.0,23049.0
Paul Mitchell the School-Little Rock,North Little Rock,AR,72117,3,nan,26428.0,nan,nan,15500.0,nan,nan,22000.0,nan,nan,nan,18818.0,17806.0,16693.0
National Park College,Hot Springs,AR,71913,1,14685.0,nan,4550.0,6230.0,nan,1500.0,9198.0,nan,1.0,nan,nan,24014.0,28033.0,28453.0
University of Arkansas Community College-Batesville,Batesville,AR,72503-3350,1,13911.0,nan,2526.0,3438.0,nan,1000.0,9914.0,nan,0.494,nan,nan,26356.0,28015.0,29978.0
Harding University,Searcy,AR,72149-5615,2,31647.0,nan,21540.0,21540.0,nan,1200.0,nan,19456.0,0.7416,0.5507,0.5028,39240.0,43284.0,47520.0
Henderson State University,Arkadelphia,AR,71999-0001,1,23005.0,nan,7392.0,9312.0,nan,2500.0,14902.0,nan,0.9952,0.749,0.2279,32627.0,36297.0,39020.0
Hendrix College,Conway,AR,72032-3080,2,64046.0,nan,49490.0,49490.0,nan,1100.0,nan,19746.0,1.0,0.7054,0.5911,38321.0,42797.0,45626.0
Hot Springs Beauty College,Hot Springs,AR,71901,3,nan,17419.0,nan,nan,15000.0,nan,nan,11008.0,nan,nan,nan,14071.0,14813.0,14949.0
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,71603,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54364.0,62702.0,66671.0
John Brown University,Siloam Springs,AR,72761,2,40774.0,nan,28288.0,28288.0,nan,800.0,nan,21957.0,0.982,0.5886,0.5597,41915.0,46127.0,51785.0
Career Academy of Hair Design,Springdale,AR,72764-7128,3,nan,15510.0,nan,nan,16695.0,nan,nan,11329.0,nan,nan,nan,18444.0,19381.0,22182.0
Academy of Salon and Spa,Fort Smith,AR,72901,3,nan,18779.0,nan,nan,16500.0,nan,nan,15947.0,nan,nan,nan,15986.0,16778.0,20056.0
Arkansas State University Mid-South,West Memphis,AR,72301-3829,1,13473.0,nan,2746.0,4186.0,nan,1460.0,6251.0,nan,0.4535,nan,nan,23123.0,24924.0,25147.0
Arkansas Northeastern College,Blytheville,AR,72316-1109,1,10173.0,nan,2374.0,4054.0,nan,794.0,3648.0,nan,1.0,nan,nan,26669.0,27820.0,29391.0
New Tyler Barber College Inc,North Little Rock,AR,72114-4973,3,nan,21081.0,nan,nan,15825.0,nan,nan,15668.0,nan,nan,nan,17123.0,nan,16431.0
North Arkansas College,Harrison,AR,72601-5508,1,11751.0,nan,3090.0,5940.0,nan,1290.0,6439.0,nan,0.5508,nan,nan,26858.0,27130.0,30771.0
Northwest Technical Institute,Springdale,AR,72764,1,18248.0,nan,2326.0,2326.0,nan,1500.0,15534.0,nan,nan,nan,nan,34301.0,35883.0,38280.0
Ouachita Baptist University,Arkadelphia,AR,71998-0001,2,40200.0,nan,29120.0,29120.0,nan,1100.0,nan,20639.0,0.9496,0.6177,0.5403,38561.0,42297.0,44927.0
Arkansas State University Three Rivers,Malvern,AR,72104-0816,1,12436.0,nan,3458.0,5882.0,nan,1200.0,6704.0,nan,0.3766,nan,nan,27688.0,29014.0,31680.0
Ozarka College,Melbourne,AR,72556-0010,1,11345.0,nan,3004.0,5356.0,nan,1100.0,5694.0,nan,0.425,nan,nan,22152.0,24663.0,27290.0
University of the Ozarks,Clarksville,AR,72830,2,34832.0,nan,25950.0,25950.0,nan,nan,nan,14323.0,0.8136,0.559,0.3275,32401.0,35920.0,39347.0
University of Arkansas Community College-Morrilton,Morrilton,AR,72110,1,13510.0,nan,3216.0,4128.0,nan,428.0,7410.0,nan,1.0,1.0,nan,27886.0,29727.0,30637.0
Philander Smith College,Little Rock,AR,72202-3799,2,26178.0,nan,13014.0,13014.0,nan,1200.0,nan,14046.0,1.0,nan,0.2455,25327.0,30785.0,35583.0
Phillips Community College of the University of Arkansas,Helena,AR,72342-0785,1,10475.0,nan,3020.0,4910.0,nan,1200.0,4704.0,nan,0.726,nan,nan,22857.0,23839.0,27061.0
Southeast Arkansas College,Pine Bluff,AR,71603,1,12716.0,nan,3855.0,6735.0,nan,1320.0,7142.0,nan,0.5641,nan,nan,25003.0,26773.0,28312.0
Professional Cosmetology Education Center,El Dorado,AR,71730-4009,3,nan,10895.0,nan,nan,18325.0,nan,nan,5845.0,nan,nan,nan,16678.0,16403.0,16062.0
University of Arkansas-Pulaski Technical College,North Little Rock,AR,72118-3347,1,18410.0,nan,5670.0,6900.0,nan,772.0,12788.0,nan,1.0,nan,nan,25605.0,28950.0,30867.0
University of Arkansas Hope-Texarkana,Hope,AR,71801,1,12374.0,nan,2980.0,4300.0,nan,1136.0,6613.0,nan,0.519,nan,nan,26285.0,30007.0,27515.0
University of Arkansas Community College Rich Mountain,Mena,AR,71953,1,12152.0,nan,3072.0,3648.0,nan,750.0,5751.0,nan,0.3654,nan,nan,23664.0,23009.0,26048.0
Paul Mitchell the School-Arkansas,Fayetteville,AR,72703,3,nan,20600.0,nan,nan,15000.0,nan,nan,16795.0,nan,nan,nan,20342.0,23316.0,24457.0
Searcy Beauty College,Searcy,AR,72143,3,nan,17503.0,nan,nan,14900.0,nan,nan,12323.0,nan,nan,nan,16578.0,20022.0,13930.0
Shorter College,N Little Rock,AR,72114,2,19113.0,nan,5596.0,5596.0,nan,500.0,nan,15709.0,0.3448,nan,nan,nan,nan,nan
Williams Baptist University,Walnut Ridge,AR,72476,2,30063.0,nan,18500.0,18500.0,nan,1250.0,nan,16548.0,1.0,0.693,0.2927,32457.0,35153.0,36232.0
South Arkansas Community College,El Dorado,AR,71731-7010,1,12251.0,nan,2700.0,4812.0,nan,1635.0,7293.0,nan,1.0,nan,nan,25793.0,28440.0,31232.0
